DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
2100.1208,2379.6,948.0,91.5983,0.4117,2.2564160000000046,1.0,0.8816797900262464,2.5101265822784806,5369.367513600012,2139.082368000005,0.4904423551888328,2.728470776830213,1.09,0.28810692476520433,4.0
2100.2732,2386.1,942.7,94.3741,0.4241,2.2594640000000035,1.0,0.886767564018398,2.5311339768749344,5391.307050400008,2129.996712800003,0.5219339694885987,2.733509435118176,1.09,0.2884348729547065,4.0
2100.4255,2386.0,944.2,94.2315,0.4307,2.265314999999969,1.0,0.906035386631705,2.527006990044482,5405.041589999926,2138.9104229999707,0.5203161640994689,2.733250586255916,1.09,0.2847621599345475,4.0
2100.5779,2394.3,989.2,92.6377,0.4179,2.278895000000015,1.0,0.9385508864084628,2.420440760210271,5456.358298500035,2254.282934000015,0.5022344093365295,2.7303575054938447,1.09,0.2752220195791483,4.0
2100.7305,2372.0,984.0,92.4617,0.4056,2.286220000000008,1.0,0.983700787401614,2.4105691056910565,5422.913840000017,2249.6404800000078,0.5002376789824843,2.7300380286371984,1.09,0.27061447410825235,4.0
2100.8828,2362.2000000000007,984.0,92.6755,0.4138,2.2861020000000085,1.0,1.0,2.400609756097561,5400.23014440002,2249.5243680000085,0.5026632525602961,2.730426120409647,1.09,0.270858964558966,4.0
2101.0352,2360.0,981.0,96.884,0.4162,2.2763680000000264,1.0,0.99134796854525,2.4057084607543318,5372.2284800000625,2233.117008000026,0.5504089326455203,2.738065429223284,1.09,0.2801450846771601,4.0
2101.1875,2371.8,974.4,96.7039,0.4293,2.263375000000001,1.0,0.9809724409448978,2.4341133004926103,5368.272825000001,2205.432600000001,0.5483656875502728,2.737738510008044,1.09,0.28788761513240785,4.0
2101.3401,2379.6,977.9,99.7031,0.4224,2.2579950000000126,1.0,0.9986408404464868,2.433377645976071,5373.12490200003,2208.0933105000117,0.5823917879926167,2.7431826860788187,1.09,0.2934870357429293,4.0
2101.4924,2388.2,1008.4,96.436,0.4463,2.255,1.0,0.9756480630334308,2.3683062276874254,5385.391,2273.942,0.5453263462897687,2.7372522154063628,1.09,0.2927616128823329,4.0
